Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
uniqueID-24,,MissingMaps Mapathon Glasgow,"Online, Glasgow, United Kingdom",https://www.openstreetmap.org/edit?way=45886021#map=19/55.86530/-4.25776,https://missingmaps-glasgow-mapathon.eventbrite.com,2020-04-23,18:00,20:30,[gb],,55.8653,-4.25776
uniqueID-25,,MAPATON ONLINE CRUZ ROJA,"Online , MADRID, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26539919?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=23/04/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26539919?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=23/04/2020&_activitiesDetail_professionId=478,2020-04-23,17:00,19:00,[es],,,
uniqueID-26,,Virtual Mapathon at the University of Delaware,"Online, Newark, Delaware, United States",https://www.openstreetmap.org/#map=16/39.6786/-75.7488,https://docs.google.com/forms/d/1LDoLida0Sa_2HfS-USz8kQ5ZcMRPqM8Mn7Ii_EzfUaY/edit,2020-04-22,12:00,11:59,[us],,39.6786,-75.7488
uniqueID-27,,MAPATON ONLINE CRUZ ROJA BURUNDI,"Online , MADRID, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26539896?_activitiesDetail_startHour=11:00&_activitiesDetail_endHour=13:00&_activitiesDetail_startDate=21/04/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26539896?_activitiesDetail_startHour=11:00&_activitiesDetail_endHour=13:00&_activitiesDetail_startDate=21/04/2020&_activitiesDetail_professionId=478,2020-04-21,11:00,13:00,[es],,,
uniqueID-28,,MAPATON ONLINE CRUZ ROJA ESPAÑOLA,"ONLINE, MADRID, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26324853?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=17/04/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26324853?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=17/04/2020&_activitiesDetail_professionId=478,2020-04-17,17:00,19:00,[es],,,
uniqueID-29,,Mapatón ONLINE Cruz Roja Española,"Online, MADRID, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26324847?_activitiesDetail_startHour=11:00&_activitiesDetail_endHour=13:00&_activitiesDetail_startDate=15/04/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26324847?_activitiesDetail_startHour=11:00&_activitiesDetail_endHour=13:00&_activitiesDetail_startDate=15/04/2020&_activitiesDetail_professionId=478,2020-04-15,11:00,13:00,[es],,,
uniqueID-30,,Online Missing Maps London,"London, United Kingdom",https://www.openstreetmap.org/way/110085229#map=15/51.4980/-0.1749,https://www.eventbrite.co.uk/e/missing-maps-april-mapathon-tickets-99003635539,2020-04-07,18:00,21:00,[gb],,51.498,-0.1749
uniqueID-31,,Missing Maps Cambridge (Online) Mapathon,"Online, Cambridge, United Kingdom",https://www.openstreetmap.org/relation/295355,https://www.eventbrite.co.uk/e/missing-maps-april-online-mapathon-cambridge-tickets-75288753689,2020-04-07,19:00,22:00,[gb],,52.1962,0.1308
uniqueID-32,,Mapaton Online Missing Maps Cruz Roja Española,"Online, Online, Spain",https://www.openstreetmap.org/search?query=espa%C3%B1a#map=5/36.149/-6.901,https://cutt.ly/AtTHxjM,2020-04-03,17:00,19:00,[es],,36.149,-6.901
uniqueID-33,,Online Březnový Missing Maps mapathon v Praze,"SAP services, Metronom Business Center, Bucharova 2817/11, 158 00 Praha 5, Czech Republic, Prague, Czech Republic",https://www.openstreetmap.org/search?whereami=1&query=50.05128%2C14.35045#map=18/50.05128/14.35051,https://www.eventbrite.co.uk/e/breznovy-missing-maps-mapathon-v-praze-v-kancelari-sap-tickets-96422657765,2020-03-31,18:00,21:00,[cz],,50.05128,14.35045
